,station,date,latitude,longitude,elevation,name,prcp,snwd,tmax,tmin,tavg,tavg_attributes,city name,cou
15952,GME00126910,2019-12-04,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15953,GME00126910,2019-12-05,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15954,GME00126910,2019-12-06,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",8.0,0.0,,,,,Munich,DEU
15955,GME00126910,2019-12-07,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",1.0,0.0,,,,,Munich,DEU
15956,GME00126910,2019-12-08,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15957,GME00126910,2019-12-09,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",29.0,0.0,,,,,Munich,DEU
15958,GME00126910,2019-12-10,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15959,GME00126910,2019-12-11,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",22.0,0.0,,,,,Munich,DEU
15960,GME00126910,2019-12-12,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",7.0,0.0,,,,,Munich,DEU
15961,GME00126910,2019-12-13,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",18.0,0.0,,,,,Munich,DEU
15962,GME00126910,2019-12-14,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",32.0,0.0,,,,,Munich,DEU
15963,GME00126910,2019-12-15,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15964,GME00126910,2019-12-16,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15965,GME00126910,2019-12-17,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15966,GME00126910,2019-12-18,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15967,GME00126910,2019-12-19,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15968,GME00126910,2019-12-20,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",79.0,0.0,,,,,Munich,DEU
15969,GME00126910,2019-12-21,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",21.0,0.0,,,,,Munich,DEU
15970,GME00126910,2019-12-22,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",2.0,0.0,,,,,Munich,DEU
15971,GME00126910,2019-12-23,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",25.0,0.0,,,,,Munich,DEU
15972,GME00126910,2019-12-24,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",60.0,0.0,,,,,Munich,DEU
15973,GME00126910,2019-12-25,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",91.0,0.0,,,,,Munich,DEU
15974,GME00126910,2019-12-26,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",12.0,0.0,,,,,Munich,DEU
15975,GME00126910,2019-12-27,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",35.0,0.0,,,,,Munich,DEU
15976,GME00126910,2019-12-28,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15977,GME00126910,2019-12-29,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15978,GME00126910,2019-12-30,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15979,GME00126910,2019-12-31,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15980,GME00126910,2020-01-01,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15981,GME00126910,2020-01-02,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15982,GME00126910,2020-01-03,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",17.0,0.0,,,,,Munich,DEU
15983,GME00126910,2020-01-04,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",7.0,0.0,,,,,Munich,DEU
15984,GME00126910,2020-01-05,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",1.0,0.0,,,,,Munich,DEU
15985,GME00126910,2020-01-06,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15986,GME00126910,2020-01-07,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",6.0,0.0,,,,,Munich,DEU
15987,GME00126910,2020-01-08,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15988,GME00126910,2020-01-09,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15989,GME00126910,2020-01-10,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",4.0,0.0,,,,,Munich,DEU
15990,GME00126910,2020-01-11,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15991,GME00126910,2020-01-12,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15992,GME00126910,2020-01-13,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15993,GME00126910,2020-01-14,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15994,GME00126910,2020-01-15,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15995,GME00126910,2020-01-16,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
15996,GME00126910,2020-01-17,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",39.0,0.0,,,,,Munich,DEU
15997,GME00126910,2020-01-18,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",33.0,0.0,,,,,Munich,DEU
15998,GME00126910,2020-01-19,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",4.0,0.0,,,,,Munich,DEU
15999,GME00126910,2020-01-20,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16000,GME00126910,2020-01-21,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16001,GME00126910,2020-01-22,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16002,GME00126910,2020-01-23,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16003,GME00126910,2020-01-24,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16004,GME00126910,2020-01-25,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16005,GME00126910,2020-01-26,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",9.0,0.0,,,,,Munich,DEU
16006,GME00126910,2020-01-27,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",4.0,0.0,,,,,Munich,DEU
